bill_id,title,policy_type,direction,macro_relevance,net_score,raw_score,confidence,explanation,gdp_comp,unemp_comp,impact_gdp_effect,impact_unemployment_effect,impact_num_analogs_matched,impact_avg_similarity
134,Protecting our Communities from Sexual Predators Act,regulation,neutral,True,-0.163,-0.163,0.526,Found 3 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: harmful. Confidence in estimate: moderate (52.6%).,0.00018,0.003000000026077032,0.00018,0.003000000026077032,3,0.895
173,High Rise Fire Sprinkler Incentive Act of 2025,spending,expansionary,True,-0.017,-0.017,0.814,Found 6 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: high (81.4%).,0.00032,-0.0015800000401213765,0.00032,-0.0015800000401213765,6,0.821
209,Inaction Has Consequences Act,other,neutral,True,0.081,0.081,0.1,Found 1 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: low (10.0%).,0.00033,-0.0063299997709691525,0.00033,-0.0063299997709691525,1,1.0
1,Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.,regulation,neutral,True,-0.174,-0.174,0.778,Found 14 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: harmful. Confidence in estimate: high (77.8%).,0.00015,0.003060000017285347,0.00015,0.003060000017285347,8,0.795
68,Housing Fairness Act of 2025,regulation,neutral,True,-0.035,-0.035,0.812,Found 5 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: high (81.2%).,0.00032,-0.0007099999929778278,0.00032,-0.0007099999929778278,5,0.819
166,Fair Lending for All Act,other,neutral,True,0.05,0.05,0.531,Found 5 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: moderate (53.1%).,0.00037,-0.004110000096261501,0.00037,-0.004110000096261501,3,0.923
170,USPS Subpoena Authority Act,other,neutral,True,0.081,0.081,0.1,Found 1 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: low (10.0%).,0.00033,-0.0063299997709691525,0.00033,-0.0063299997709691525,1,1.0
105,Increasing Public Access to Recreation Act,spending,expansionary,True,-0.152,-0.152,0.47,Found 3 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: harmful. Confidence in estimate: moderate (47.0%).,0.00019,0.002570000011473894,0.00019,0.002570000011473894,3,0.831
37,Proposing a Federal debt limit amendment to the Constitution of the United States.,spending,expansionary,True,0.163,0.163,0.087,Found 2 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: low (8.7%).,0.00036,-0.01,0.00036,-0.01,1,1.0
50,KAMALA Act,regulation,neutral,True,-0.085,-0.085,0.296,Found 2 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: neutral. Confidence in estimate: low (29.6%).,0.00021,-0.0004199999966658652,0.00021,-0.0004199999966658652,2,0.851
96,Buzz Off Act,other,neutral,True,0.081,0.081,0.1,Found 1 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: low (10.0%).,0.00033,-0.0063299997709691525,0.00033,-0.0063299997709691525,1,1.0
3,Proposing an amendment to the Constitution of the United States relative to balancing the budget.,spending,contractionary,True,-0.049,-0.049,0.807,Found 17 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: high (80.7%).,0.00027,-0.0010400000028312206,0.00027,-0.0010400000028312206,10,0.82
10,Proposing a balanced budget amendment to the Constitution of the United States.,spending,neutral,True,-0.034,-0.034,0.777,Found 22 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: high (77.7%).,0.00028,-0.001610000035725534,0.00028,-0.001610000035725534,14,0.795
119,"To prohibit any entity that receives Federal funds from the COVID relief packages from mandating employees receive a COVID-19 vaccine, and for other purposes.",regulation,neutral,True,0.025,0.025,0.809,Found 23 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: high (80.9%).,0.00043,-0.0014600000577047467,0.00043,-0.0014600000577047467,17,0.819
9,Reaffirming that the United States is not a party to the Rome Statute and does not recognize the jurisdiction of the International Criminal Court.,other,neutral,True,-0.191,-0.191,0.515,Found 9 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: harmful. Confidence in estimate: moderate (51.5%).,0.00012,0.003160000080242753,0.00012,0.003160000080242753,3,0.889
171,Make Transportation Authorities Accountable and Transparent Act,regulation,neutral,True,-0.114,-0.114,0.682,Found 4 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: harmful. Confidence in estimate: moderate (68.2%).,0.00023,0.0014600000577047467,0.00023,0.0014600000577047467,4,0.871
28,Protection of Women and Girls in Sports Act of 2025,other,neutral,True,-0.074,-0.074,0.81,Found 7 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: harmful. Confidence in estimate: high (81.0%).,0.00029,0.0007200000109151006,0.00029,0.0007200000109151006,7,0.829
144,Tennessee Valley Authority Salary Transparency Act,other,neutral,True,0.081,0.081,0.1,Found 1 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: low (10.0%).,0.00033,-0.0063299997709691525,0.00033,-0.0063299997709691525,1,1.0
22,SAVE Act,other,neutral,True,-0.085,-0.085,0.296,Found 2 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: neutral. Confidence in estimate: low (29.6%).,0.00021,-0.0004199999966658652,0.00021,-0.0004199999966658652,2,0.851
187,MAPWaters Act of 2025,other,neutral,True,-0.036,-0.036,0.78,Found 5 historical analogs. Historical impact on GDP: neutral. Impact on unemployment: beneficial. Confidence in estimate: high (78.0%).,0.00032,-0.0006900000153109431,0.00032,-0.0006900000153109431,5,0.788
